Key,Prompt,Resp1,Resp2,Resp3,Resp4,Key1,Key2,Key3,Key4
1,"Hello, how are you?",Fine.,Who are you?,What is this?,,11,12,13,
11,Okay.,Who are you?,What is this?,,,111,112,,
111,How can you ask this?,What do you mean?,What is this?,,,1111,1112,1113,
1111,Identity is illegal. Do you not know?,I'm sorry. I didn't know.,What is this?,,,11111,11112,,
11111,Reentry can be disorienting.,What is this?,,,,,,,
11112,It makes sense you would ask this.,11112,,,,,,,
112,It makes sense you would ask this.,112,,,,,,,
1112,It makes sense you would ask this.,1112,,,,,,,
11112,It makes sense you would ask this.,11112,,,,,,,
12,How can you ask this?,What do you mean?,What is this?,,,121,122,,
121,Identity is illegal. Do you not know?,I'm sorry. I didn't know.,What is this?,,,1211,1212,,
1211,Reentry can be disorienting.,What is this?,,,,12111,,,
1212,It makes sense you would ask this.,1212,,,,,,,
12111,It makes sense you would ask this.,12111,,,,,,,
122,It makes sense you would ask this.,122,,,,,,,
13,It makes sense you would ask this.,13,,,,,,,
